BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
-331.163,55.1374,-10.7359,20.7135,-7.74701,15.5666,-14.1801,6.09874,-11.6203,11.8293,-4.32527,1.24803,-6.12449,-1.23609,-1.99732,-2.01818,1.09933,-5.60222,3.60986,-3.18563,1.33021
-375.886,79.0497,-36.2397,19.8156,-9.46562,-0.0714326,-4.82359,-16.9071,-0.83813,-4.92917,1.01052,-4.02695,-7.77128,-0.999038,-8.84396,-0.655944,-3.55588,-1.24438,1.06449,-4.74123,1.91442
-396.889,93.4676,-39.0624,16.9817,1.98484,-13.2505,4.82996,-20.897,-0.973985,3.5713,-8.06555,1.5136,-9.02553,-5.3008,-0.71824,-7.0339,1.24425,-1.50126,-5.33169,2.86726,-2.45739
-395.445,94.4364,-35.5692,17.8891,0.507915,-11.0767,7.43354,-19.5929,1.43207,2.82901,-7.56697,2.84613,-10.0288,-3.40869,1.11524,-7.99225,0.834478,-1.03212,-2.73503,2.97808,-3.67629
-398.139,93.3987,-33.9194,18.1009,0.0730245,-9.47164,6.86107,-20.4713,0.800383,1.81736,-7.8811,3.95448,-9.40418,-4.32637,-1.14513,-8.37911,2.34659,-0.660894,-3.6826,3.70957,-3.35317
-403.73,92.6728,-31.0423,19.0182,-0.617253,-9.60091,7.27828,-20.9905,-0.186637,3.34506,-7.42216,1.89875,-9.2722,-3.48005,-0.62416,-7.93492,0.381181,-1.95078,-2.54988,3.8737,-3.3825
-400.927,93.5797,-32.6356,19.5379,-0.386825,-9.45689,9.77735,-18.3019,0.0105575,1.63817,-8.51876,2.79739,-7.90257,-3.30586,-0.925147,-8.82364,1.15406,-0.22294,-1.60867,4.02917,-3.16181
-403.402,93.6423,-31.7824,19.5171,1.48399,-10.5829,8.37347,-18.0687,-1.64362,3.32354,-6.86706,0.318713,-9.11233,-3.70876,-1.5506,-7.98917,0.957618,-0.75629,-2.70189,2.97288,-2.21952
-402.838,92.7835,-28.6043,22.6228,-0.343911,-9.84155,8.81257,-18.3116,2.41562,2.82417,-8.40476,3.85444,-8.94745,-4.40932,-0.52347,-8.71812,1.16817,-0.395034,-1.6068,3.66169,-2.31663
-403.634,94.1795,-28.2238,22.0389,0.836443,-9.08112,10.8026,-17.5978,0.26848,5.01059,-7.04457,2.89337,-7.94348,-4.74741,-0.669337,-7.50253,1.50462,1.48394,0.707114,2.67592,-3.64852
