A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.317844,1.94572,0.320538,0.00885863,3.16521,0.0172921,0.589868,0,0.206168,1.94935,0.0758807,0.987515
0.0942447,2.03077,0.254753,0.0340902,3.02568,0,0.454485,0,0.229374,2.20602,0.122594,0.97496
0.000215515,2.18352,0.200365,0.00844964,2.98724,0,0.452675,0.134871,0.216251,2.23978,0.116408,0.958311
0,2.38275,0.0996368,0.000300185,2.75122,0,0.287109,0.240197,0.0107836,2.61898,0.0665209,1.01852
0.049273,2.59004,0.0958165,0.00154078,3.02951,0.0477188,0.239566,0.00504612,0.152489,2.42743,0.0144831,0.923564
0.12107,2.28525,0.072431,0.0809313,2.94198,0.34913,0.229581,0,0.448195,2.04772,0.0151787,0.712771
0.147723,1.90324,0.0622492,0.361081,2.82913,0.530444,0.302955,0,0.516243,1.65968,0.151065,0.854651
0.140181,1.4796,0.109905,0.472056,3.12188,0.407975,0.343914,0,0.523605,1.68333,0.22944,0.935442
0.0354895,1.32202,0.155633,0.317417,3.15127,0.150307,0.316894,0.0434491,0.520748,1.85481,0.226487,0.924378
0.000323416,1.42363,0.104243,0.305073,2.97498,0.0901219,0.221816,0.000570808,0.609182,1.95738,0.0567712,0.708762
0.000499842,1.3504,0.0493253,0.41689,2.80895,0.111677,0.205149,0.00136155,0.725321,2.09359,0,0.680893
0.00041785,1.07973,0.107697,0.471087,2.72115,0.017586,0.48834,0.00282147,0.637569,2.06109,0.0410915,0.71325
0.142055,1.13465,0.143654,0.292323,2.973,0,0.502804,0.415026,0.583514,1.69155,0.327249,0.615832
0.0487833,1.22244,0.177678,0.0978014,3.29217,0,0.208553,0.43444,0.455237,1.52954,0.574744,0.607101
0.0129322,0.99262,0.257493,0.251322,3.45844,0,0.174139,0.112635,0.517248,1.52779,0.340733,0.949682
0.00238315,0.830157,0.253669,0.10495,3.70334,0.0163033,0.0348535,0,0.585617,1.43686,0.207663,1.56332
0.000320123,0.841882,0.493988,0,3.7285,0.0997708,0.0314548,0.0296018,0.70896,1.16567,0.281181,1.75849
0,0.923352,0.433231,0,3.92951,0.0573625,0.0335834,0.194977,0.637965,1.1815,0.265454,1.51115
0,0.843431,0.397933,0,3.96092,0.0268585,0.172994,0.163967,0.745689,1.29755,0.204697,1.35633
0.205691,0.702598,0.397507,0.00143744,3.76526,0.0301972,0.332984,0.0808619,0.728056,1.36895,0.141311,1.11736
0,0.617064,0.415975,0.00390455,3.70471,0.155447,0.326287,0.0568933,0.659917,1.28395,0.515005,0.874565
0,0.287157,0.347067,0,3.64536,0.237065,0.356657,0.174872,0.602796,1.36408,0.810091,0.831607
0.170127,0.255229,0.287705,0.00079568,3.52704,0.0772162,0.493666,0.0708964,0.465872,1.54333,0.700451,0.79544
0.246382,0.319236,0.334464,0.0466164,3.37835,0.0175894,0.383782,0.0485469,0.468996,1.76602,0.414075,0.76726
0,1.0069,0.236373,0.0477727,3.17877,0.22755,0.2962,0.0603547,1.07862,1.87597,0.179596,0.773181
0,2.55606,0.202991,0.0100578,3.02514,0.0820679,0.358549,0.041221,1.13722,1.80192,0.184826,0.558622
0.0605297,2.87709,0.195111,0.0077687,2.91614,0.0910422,0.288125,0.0414356,1.13875,1.74485,0.139194,0.491634
0.209189,2.91413,0.287313,0.00424037,2.99648,0.105419,0.183097,0.0339601,1.01001,1.57981,0.253174,0.475795
0.151993,3.04598,0.299348,0.0135982,3.22089,0.106663,0.109463,0.137257,0.896981,1.38588,0.104834,0.455545
0.30603,3.18008,0.289792,0.0151617,3.17432,0.106525,0.0773282,0.121834,1.01452,1.40797,0.0184236,0.474408
0.295625,3.40559,0.24304,0.396994,3.06945,0.110207,0.0910783,0,1.28723,1.52187,0.0425231,0.41192
0.185749,3.61459,0.227346,0.490593,2.92085,0.134301,0.0950795,0,0.88603,2.03014,0.0681946,0.328356
0.0813215,3.52701,0.263151,0.203312,2.67537,0.15269,0.203558,0.00407004,0.629494,2.52152,0.0804203,0.288284
0.000510948,3.40581,0.151833,0.0306821,2.44991,0.0229638,0.411569,0,0.58331,2.8812,6.60053e-05,0.389198
0.000797226,3.43889,0.123859,0.037724,2.172,0.104614,0.358141,0,1.01258,2.24807,0.0114822,0.74383
0.175834,3.49842,0.152673,0.129378,1.51457,0.531747,0.449178,0.0266494,0.912273,1.63674,0.00303867,0.494006
0.265006,3.64389,0.38183,0.125827,0.884519,0.64607,0.525469,0.00512355,0.878006,1.27218,0.00187131,0.322738
0.358169,3.74993,0.277571,0.130544,0.492357,0.60934,0.536495,0.0033042,0.86938,1.04166,0.00189818,0.154967
0.315932,3.99654,0.164583,0.12998,0.407711,0.631713,0.312288,0.00356161,0.823784,0.703732,0.00191978,0.118652
0.424463,4.20077,0.118777,0.132479,0.505805,0.624589,0.0722593,0.0252812,0.802216,0.68561,0.00193808,0.108994
0.608046,4.27526,0.0918376,0.130098,0.565041,0.422304,0.00247563,0.0119356,0.869474,0.741734,0.0351732,0.137433
0.513852,3.92895,0.314471,0.142286,0.601003,0.166356,0.849256,0,0.878386,0.801332,0.00135585,0.18814
0.259425,3.22564,1.09577,0.115942,0.829945,0,1.36029,0.153123,0.765213,1.05345,0.0109598,0.234535
0.000192476,1.93997,2.1607,0.050745,0.76686,0.00330495,1.38232,0.311646,1.11399,1.37621,0.147304,0.366303
0.00163568,1.30782,2.6435,0.00359136,0.924482,0.0844508,0.964093,0.167685,1.24382,1.58318,0.0786262,0.604553
0.0293054,0.953297,2.42739,0,1.73622,0.0281564,0.385178,0.0803792,1.37193,1.52022,0.275944,0.997549
